"Time Interval","Reserve Type","Type of Product","Source","Up price","Down Price","Currency","Price type"
"02.02.2023 11:00 - 02.02.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"162.03","162.03","EUR","MARGINAL"
"02.02.2023 12:00 - 02.02.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"152","110","EUR","MARGINAL"
"02.02.2023 13:00 - 02.02.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"147.69","110","EUR","MARGINAL"
"02.02.2023 14:00 - 02.02.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"156.28","110","EUR","MARGINAL"
"02.02.2023 15:00 - 02.02.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"141.62","110","EUR","MARGINAL"
"02.02.2023 16:00 - 02.02.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"161.93","110","EUR","MARGINAL"
"02.02.2023 17:00 - 02.02.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"172.47","172.47","EUR","MARGINAL"
"02.02.2023 18:00 - 02.02.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"177.26","177.26","EUR","MARGINAL"
"02.02.2023 19:00 - 02.02.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"166.53","166.53","EUR","MARGINAL"
"02.02.2023 20:00 - 02.02.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"147.5","137.68","EUR","MARGINAL"
"02.02.2023 21:00 - 02.02.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"135.89","135.89","EUR","MARGINAL"
"02.02.2023 22:00 - 02.02.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"124.96","124.96","EUR","MARGINAL"
"03.02.2023 00:00 - 03.02.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"108.3","83","EUR","MARGINAL"
"03.02.2023 01:00 - 03.02.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"100.27","70","EUR","MARGINAL"
"03.02.2023 02:00 - 03.02.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"96.43","65","EUR","MARGINAL"
"03.02.2023 03:00 - 03.02.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"90.64","67","EUR","MARGINAL"
"03.02.2023 04:00 - 03.02.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"86.54","86.54","EUR","MARGINAL"
"03.02.2023 05:00 - 03.02.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"91.86","79","EUR","MARGINAL"
"03.02.2023 06:00 - 03.02.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"100.27","79","EUR","MARGINAL"
"03.02.2023 07:00 - 03.02.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"107.73","107.73","EUR","MARGINAL"
"03.02.2023 08:00 - 03.02.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"108.44","100","EUR","MARGINAL"
"03.02.2023 09:00 - 03.02.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"107.37","100","EUR","MARGINAL"
"03.02.2023 10:00 - 03.02.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"103.74","100.03","EUR","MARGINAL"
"03.02.2023 11:00 - 03.02.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"106.92","102.81","EUR","MARGINAL"
"03.02.2023 12:00 - 03.02.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"102","87","EUR","MARGINAL"
"03.02.2023 13:00 - 03.02.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"100.08","84","EUR","MARGINAL"
"03.02.2023 14:00 - 03.02.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"100.32","84","EUR","MARGINAL"
"03.02.2023 15:00 - 03.02.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"102","86.5","EUR","MARGINAL"
"03.02.2023 16:00 - 03.02.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"107.72","88.5","EUR","MARGINAL"
"03.02.2023 17:00 - 03.02.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"112.4","88.5","EUR","MARGINAL"
"03.02.2023 18:00 - 03.02.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"113.52","93","EUR","MARGINAL"
"03.02.2023 19:00 - 03.02.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"108.07","90.5","EUR","MARGINAL"
"03.02.2023 20:00 - 03.02.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"103.7","84","EUR","MARGINAL"
"03.02.2023 21:00 - 03.02.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"106.02","84","EUR","MARGINAL"
"03.02.2023 22:00 - 03.02.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"109.91","85","EUR","MARGINAL"
"03.02.2023 23:00 - 04.02.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"107.8","85","EUR","MARGINAL"
"04.02.2023 00:00 - 04.02.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"102.54","84","EUR","MARGINAL"
"04.02.2023 01:00 - 04.02.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"106.25","85","EUR","MARGINAL"
"04.02.2023 02:00 - 04.02.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"112.03","90","EUR","MARGINAL"
"04.02.2023 03:00 - 04.02.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"115.61","95","EUR","MARGINAL"
"04.02.2023 04:00 - 04.02.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"118","98","EUR","MARGINAL"
"04.02.2023 05:00 - 04.02.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"119.63","98","EUR","MARGINAL"
"04.02.2023 06:00 - 04.02.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"121.48","100","EUR","MARGINAL"
"04.02.2023 07:00 - 04.02.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"124.25","100","EUR","MARGINAL"
"04.02.2023 08:00 - 04.02.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"135.88","135.88","EUR","MARGINAL"
"04.02.2023 09:00 - 04.02.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"164.4","164.4","EUR","MARGINAL"
"04.02.2023 10:00 - 04.02.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"158.86","158.86","EUR","MARGINAL"
"04.02.2023 11:00 - 04.02.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"151.38","110","EUR","MARGINAL"
"04.02.2023 12:00 - 04.02.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"135.89","100","EUR","MARGINAL"
"04.02.2023 13:00 - 04.02.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"129.03","95.5","EUR","MARGINAL"
"04.02.2023 14:00 - 04.02.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"128.43","98","EUR","MARGINAL"
"04.02.2023 15:00 - 04.02.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"128.29","100.5","EUR","MARGINAL"
"04.02.2023 16:00 - 04.02.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"142.5","129.36","EUR","MARGINAL"
"04.02.2023 17:00 - 04.02.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"236.44","135.88","EUR","MARGINAL"
"04.02.2023 18:00 - 04.02.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"243.04","139.71","EUR","MARGINAL"
"04.02.2023 19:00 - 04.02.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"144.5","123.93","EUR","MARGINAL"
"04.02.2023 20:00 - 04.02.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"132","118.03","EUR","MARGINAL"
"04.02.2023 21:00 - 04.02.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"132","114.4","EUR","MARGINAL"
"04.02.2023 22:00 - 04.02.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"120","112.61","EUR","MARGINAL"
"04.02.2023 23:00 - 05.02.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"115","108.03","EUR","MARGINAL"
"05.02.2023 00:00 - 05.02.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"108.06","108.06","EUR","MARGINAL"
"05.02.2023 01:00 - 05.02.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"104.44","104.44","EUR","MARGINAL"
"05.02.2023 02:00 - 05.02.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"103.67","103.67","EUR","MARGINAL"
"05.02.2023 03:00 - 05.02.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"101.79","82","EUR","MARGINAL"
"05.02.2023 04:00 - 05.02.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"100.99","82","EUR","MARGINAL"
"05.02.2023 05:00 - 05.02.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"102.62","80","EUR","MARGINAL"
"05.02.2023 06:00 - 05.02.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"102.75","74","EUR","MARGINAL"
"05.02.2023 07:00 - 05.02.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"105.43","85","EUR","MARGINAL"
"05.02.2023 08:00 - 05.02.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"106.89","86.5","EUR","MARGINAL"
"05.02.2023 09:00 - 05.02.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"132","92","EUR","MARGINAL"
"05.02.2023 10:00 - 05.02.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"133.5","108.54","EUR","MARGINAL"
"05.02.2023 11:00 - 05.02.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"133","107.07","EUR","MARGINAL"
"05.02.2023 12:00 - 05.02.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"120","104.98","EUR","MARGINAL"
"05.02.2023 13:00 - 05.02.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"103.7","89","EUR","MARGINAL"
"05.02.2023 14:00 - 05.02.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"106.35","89","EUR","MARGINAL"
"05.02.2023 15:00 - 05.02.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"112.71","92","EUR","MARGINAL"
"05.02.2023 16:00 - 05.02.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"119.97","100","EUR","MARGINAL"
"05.02.2023 17:00 - 05.02.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"129.6","129.6","EUR","MARGINAL"
"05.02.2023 18:00 - 05.02.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"129.75","129.75","EUR","MARGINAL"
"05.02.2023 19:00 - 05.02.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"127.35","127.35","EUR","MARGINAL"
"05.02.2023 20:00 - 05.02.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"120.51","120.51","EUR","MARGINAL"
"05.02.2023 21:00 - 05.02.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"119.92","119.92","EUR","MARGINAL"
"05.02.2023 22:00 - 05.02.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"129","119.96","EUR","MARGINAL"
"05.02.2023 23:00 - 06.02.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"143.5","119.97","EUR","MARGINAL"
"06.02.2023 00:00 - 06.02.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"139.5","120.29","EUR","MARGINAL"
"06.02.2023 01:00 - 06.02.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"119.59","119.59","EUR","MARGINAL"
"06.02.2023 02:00 - 06.02.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"119.27","119.27","EUR","MARGINAL"
"06.02.2023 03:00 - 06.02.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"118.86","118.86","EUR","MARGINAL"
"06.02.2023 04:00 - 06.02.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"120.01","120.01","EUR","MARGINAL"
"06.02.2023 05:00 - 06.02.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"126.26","108.5","EUR","MARGINAL"
"06.02.2023 06:00 - 06.02.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"170.23","114","EUR","MARGINAL"
"06.02.2023 07:00 - 06.02.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"194.23","194.23","EUR","MARGINAL"
"06.02.2023 08:00 - 06.02.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"207","206.78","EUR","MARGINAL"
"06.02.2023 09:00 - 06.02.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"194.43","194.43","EUR","MARGINAL"
"06.02.2023 10:00 - 06.02.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"180","179.34","EUR","MARGINAL"
"06.02.2023 11:00 - 06.02.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"175","174.26","EUR","MARGINAL"
"06.02.2023 12:00 - 06.02.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"143","134.09","EUR","MARGINAL"
"06.02.2023 13:00 - 06.02.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"143","136.52","EUR","MARGINAL"
"06.02.2023 14:00 - 06.02.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"128.55","128.55","EUR","MARGINAL"
"06.02.2023 15:00 - 06.02.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"144.81","144.81","EUR","MARGINAL"
"06.02.2023 16:00 - 06.02.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"175.98","175.98","EUR","MARGINAL"
"06.02.2023 17:00 - 06.02.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"193","192.57","EUR","MARGINAL"
"06.02.2023 18:00 - 06.02.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"159","158.29","EUR","MARGINAL"
"06.02.2023 19:00 - 06.02.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"130.5","125.37","EUR","MARGINAL"
"06.02.2023 20:00 - 06.02.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"120.4","120.4","EUR","MARGINAL"
"06.02.2023 21:00 - 06.02.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"119.45","119.45","EUR","MARGINAL"
"06.02.2023 22:00 - 06.02.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"119.47","119.47","EUR","MARGINAL"
"06.02.2023 23:00 - 07.02.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"115.9","115.9","EUR","MARGINAL"
"07.02.2023 00:00 - 07.02.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"115.3","115.3","EUR","MARGINAL"
"07.02.2023 01:00 - 07.02.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"112.72","112.72","EUR","MARGINAL"
"07.02.2023 02:00 - 07.02.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"111.71","111.71","EUR","MARGINAL"
"07.02.2023 03:00 - 07.02.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"111.47","111.47","EUR","MARGINAL"
"07.02.2023 04:00 - 07.02.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"111.47","111.47","EUR","MARGINAL"
"07.02.2023 05:00 - 07.02.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"117.8","117.8","EUR","MARGINAL"
"07.02.2023 06:00 - 07.02.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"121.5","119.97","EUR","MARGINAL"
"07.02.2023 07:00 - 07.02.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"124","122.98","EUR","MARGINAL"
"07.02.2023 08:00 - 07.02.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"127","125.19","EUR","MARGINAL"
"07.02.2023 09:00 - 07.02.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"126","124.42","EUR","MARGINAL"
"07.02.2023 10:00 - 07.02.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"126","123.87","EUR","MARGINAL"
"07.02.2023 11:00 - 07.02.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"126","122.05","EUR","MARGINAL"
"07.02.2023 12:00 - 07.02.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"120","119.98","EUR","MARGINAL"
"07.02.2023 13:00 - 07.02.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"121.21","121.21","EUR","MARGINAL"
"07.02.2023 14:00 - 07.02.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"130","122.48","EUR","MARGINAL"
"07.02.2023 15:00 - 07.02.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"123","122.55","EUR","MARGINAL"
"07.02.2023 16:00 - 07.02.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"125","123.2","EUR","MARGINAL"
"07.02.2023 17:00 - 07.02.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"142.5","122.48","EUR","MARGINAL"
"07.02.2023 18:00 - 07.02.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"142.5","122.58","EUR","MARGINAL"
"07.02.2023 19:00 - 07.02.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"142.5","121.74","EUR","MARGINAL"
"07.02.2023 20:00 - 07.02.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"126","120.39","EUR","MARGINAL"
"07.02.2023 21:00 - 07.02.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"120.55","120.55","EUR","MARGINAL"
"07.02.2023 22:00 - 07.02.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"120.56","105","EUR","MARGINAL"
"07.02.2023 23:00 - 08.02.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"117.03","100","EUR","MARGINAL"
"08.02.2023 00:00 - 08.02.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"110.48","100","EUR","MARGINAL"
"08.02.2023 01:00 - 08.02.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"109.02","109.02","EUR","MARGINAL"
"08.02.2023 02:00 - 08.02.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"108.26","108.26","EUR","MARGINAL"
"08.02.2023 03:00 - 08.02.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"107.77","107.77","EUR","MARGINAL"
"08.02.2023 04:00 - 08.02.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"107.6","107.6","EUR","MARGINAL"
"08.02.2023 05:00 - 08.02.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"115.11","115.11","EUR","MARGINAL"
"08.02.2023 06:00 - 08.02.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"133.5","116.43","EUR","MARGINAL"
"08.02.2023 07:00 - 08.02.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"147","119.41","EUR","MARGINAL"
"08.02.2023 08:00 - 08.02.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"147","119.98","EUR","MARGINAL"
"08.02.2023 09:00 - 08.02.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"117.85","117.85","EUR","MARGINAL"
"08.02.2023 10:00 - 08.02.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"116.58","100.5","EUR","MARGINAL"
"08.02.2023 11:00 - 08.02.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"115.21","105","EUR","MARGINAL"
"08.02.2023 12:00 - 08.02.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"120","111.91","EUR","MARGINAL"
"08.02.2023 13:00 - 08.02.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"120","111.2","EUR","MARGINAL"
"08.02.2023 14:00 - 08.02.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"110.59","95.28","EUR","MARGINAL"
"08.02.2023 15:00 - 08.02.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"110.41","95.28","EUR","MARGINAL"
"08.02.2023 16:00 - 08.02.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"123.5","110.46","EUR","MARGINAL"
"08.02.2023 17:00 - 08.02.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"123.5","110.42","EUR","MARGINAL"
"08.02.2023 18:00 - 08.02.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"120","102.83","EUR","MARGINAL"
"08.02.2023 19:00 - 08.02.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"110","80","EUR","MARGINAL"
"08.02.2023 20:00 - 08.02.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"93.57","79.5","EUR","MARGINAL"
"08.02.2023 21:00 - 08.02.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"92.08","92.08","EUR","MARGINAL"
"08.02.2023 22:00 - 08.02.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"91.83","91.83","EUR","MARGINAL"
"08.02.2023 23:00 - 09.02.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"88.12","88.12","EUR","MARGINAL"
"09.02.2023 01:00 - 09.02.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"81.49","81.49","EUR","MARGINAL"
"09.02.2023 02:00 - 09.02.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"79.97","79.97","EUR","MARGINAL"
"09.02.2023 03:00 - 09.02.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"79.94","79.94","EUR","MARGINAL"
"09.02.2023 04:00 - 09.02.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"80.7","80.7","EUR","MARGINAL"
"09.02.2023 05:00 - 09.02.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"85.52","68","EUR","MARGINAL"
"09.02.2023 06:00 - 09.02.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"87.08","68","EUR","MARGINAL"
"09.02.2023 07:00 - 09.02.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"93.69","79","EUR","MARGINAL"
"09.02.2023 08:00 - 09.02.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"100.42","100.42","EUR","MARGINAL"
"09.02.2023 09:00 - 09.02.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"104.75","104.75","EUR","MARGINAL"
"09.02.2023 10:00 - 09.02.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"101.95","101.95","EUR","MARGINAL"
"09.02.2023 11:00 - 09.02.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"96.33","96.33","EUR","MARGINAL"
"09.02.2023 12:00 - 09.02.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"93.06","76","EUR","MARGINAL"
"09.02.2023 13:00 - 09.02.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"91.15","76","EUR","MARGINAL"
"09.02.2023 14:00 - 09.02.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"89.54","72","EUR","MARGINAL"
"09.02.2023 15:00 - 09.02.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"89.33","72","EUR","MARGINAL"
"09.02.2023 16:00 - 09.02.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"89.96","72","EUR","MARGINAL"
"09.02.2023 17:00 - 09.02.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"89.56","89.56","EUR","MARGINAL"
"09.02.2023 18:00 - 09.02.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"89.91","89.91","EUR","MARGINAL"
"09.02.2023 19:00 - 09.02.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"88.36","88.36","EUR","MARGINAL"
"09.02.2023 20:00 - 09.02.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"86.53","72","EUR","MARGINAL"
"09.02.2023 21:00 - 09.02.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"85.98","72","EUR","MARGINAL"
"09.02.2023 22:00 - 09.02.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"86.43","86.43","EUR","MARGINAL"
"09.02.2023 23:00 - 10.02.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"85.82","85.82","EUR","MARGINAL"
"10.02.2023 00:00 - 10.02.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"80.4","80.4","EUR","MARGINAL"
"10.02.2023 01:00 - 10.02.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"81.97","81.97","EUR","MARGINAL"
"10.02.2023 02:00 - 10.02.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"83.61","83.61","EUR","MARGINAL"
"10.02.2023 03:00 - 10.02.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"85.3","85.3","EUR","MARGINAL"
"10.02.2023 04:00 - 10.02.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"88.67","88.67","EUR","MARGINAL"
"10.02.2023 05:00 - 10.02.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"94.97","94.97","EUR","MARGINAL"
"10.02.2023 06:00 - 10.02.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"101.07","101.07","EUR","MARGINAL"
"10.02.2023 07:00 - 10.02.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"109.33","109.33","EUR","MARGINAL"
"10.02.2023 08:00 - 10.02.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"116.42","116.42","EUR","MARGINAL"
"10.02.2023 09:00 - 10.02.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"109.71","109.71","EUR","MARGINAL"
"10.02.2023 10:00 - 10.02.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"107.74","107.74","EUR","MARGINAL"
"10.02.2023 11:00 - 10.02.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"99.48","99.48","EUR","MARGINAL"
"10.02.2023 12:00 - 10.02.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"94.93","94.93","EUR","MARGINAL"
"10.02.2023 13:00 - 10.02.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"100","90.19","EUR","MARGINAL"
"10.02.2023 14:00 - 10.02.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"100","87.9","EUR","MARGINAL"
"10.02.2023 15:00 - 10.02.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"100","84.22","EUR","MARGINAL"
"10.02.2023 16:00 - 10.02.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"90.5","82.65","EUR","MARGINAL"
"10.02.2023 17:00 - 10.02.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"96","83.5","EUR","MARGINAL"
"10.02.2023 18:00 - 10.02.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"82.08","82.08","EUR","MARGINAL"
"10.02.2023 19:00 - 10.02.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"79.99","76","EUR","MARGINAL"
